county_geoid,hpsa_record_count,hpsa_score_mean,hpsa_score_max,pct_high_severity_records,designation_population_sum,county_name,share_type__Correctional Facility,share_type__Federally Qualified Health Center,share_type__Federally Qualified Health Center Look A Like,share_type__Geographic HPSA,share_type__HPSA Population,NAME,pop_total,median_household_income,poverty_rate,pct_black,pct_asian,pct_hispanic,pct_foreign_born,pct_limited_english_hh,hpsa_records_per_100k,designation_pop_per_resident,pct_foreign_born_z,pct_hispanic_z,pct_black_z,pct_limited_english_hh_z,dci,dci_group
34001,45,0.5333333333333333,24,0.022222222222222223,1071744.0,"Atlantic County, NJ",0.0,0.022222222222222223,0.022222222222222223,0.3111111111111111,0.6444444444444445,"Atlantic County, New Jersey",274339,73113,0.13028810170135283,0.13508833960902386,0.07800203397985704,0.19748559264267931,0.15787401718312016,0.03162040510127532,16.40306336321121,3.9066410535869855,-0.3509730781616757,-0.03638365633976581,0.035382975554842454,-0.2339903850111312,-0.14649103598943258,Mid DCI
34005,9,4.777777777777778,22,0.1111111111111111,116634.0,"Burlington County, NJ",0.3333333333333333,0.1111111111111111,0.0,0.0,0.5555555555555556,"Burlington County, New Jersey",461853,102615,0.06583532528871354,0.16518892374846542,0.05478799531452648,0.08901966643066084,0.10692579673619096,0.006723835509647242,1.9486719800455992,0.252534897467376,-0.8118296592563738,-1.0148422131294883,0.38871693652557326,-1.004244508137896,-0.6105498609995461,Low DCI
34007,22,3.590909090909091,23,0.13636363636363635,2849332.0,"Camden County, NJ",0.0,0.18181818181818182,0.045454545454545456,0.7727272727272727,0.0,"Camden County, New Jersey",522581,82005,0.1240810158951559,0.1930303627571611,0.059252058532552845,0.1816235186506972,0.11808887043348304,0.03134480798160568,4.209873684653671,5.452421729837097,-0.7108531004381697,-0.1794735885231586,0.7155320534181842,-0.24251685356601124,-0.10432787227728887,Mid DCI
34011,7,9.571428571428571,22,0.14285714285714285,291109.0,"Cumberland County, NJ",0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,"Cumberland County, New Jersey",153588,62310,0.15517409402887414,0.18991067010443524,0.0155611115451728,0.324257103419538,0.10871943120556293,0.05910543130990415,4.557647732895799,1.895388962679376,-0.7956051818941191,1.107207458480159,0.6789117221683814,0.6163458303268443,0.40171495727031636,High DCI
34013,8,15.375,26,0.375,3157604.0,"Essex County, NJ",0.125,0.75,0.125,0.0,0.0,"Essex County, New Jersey",853374,73785,0.15033860641341315,0.3775460700700982,0.0570617337767497,0.24018308502485428,0.28987993540932816,0.05618613033725099,0.9374553243946967,3.70014085266249,0.8430979929048166,0.34878547680477684,2.881458981087624,0.526028021579803,1.1498426180942551,High DCI
34017,5,9.4,17,0.0,400924.0,"Hudson County, NJ",0.0,0.8,0.0,0.0,0.2,"Hudson County, New Jersey",712029,86854,0.14157814417799597,0.12071980214289024,0.16024066435496306,0.4245459103491571,0.42716799456201926,0.09624070000758479,0.7022185894113864,0.5630725714823414,2.084949131398298,2.0119011693761175,-0.13328126806071447,1.7652428188271103,1.4322029628852029,High DCI
34019,2,7.5,12,0.0,2540.0,"Hunterdon County, NJ",1.0,0.0,0.0,0.0,0.0,"Hunterdon County, New Jersey",129099,133534,0.03694532722440836,0.025716698037939877,0.04456269994345425,0.07278135384472381,0.1040441831462676,0.005958611804493115,1.5491986769843298,0.01967482319770099,-0.837895546846529,-1.1613261500893683,-1.248469695049812,-1.0279191237045122,-1.0689026289225554,Low DCI
34021,27,1.8148148148148149,23,0.037037037037037035,954010.0,"Mercer County, NJ",0.07407407407407407,0.037037037037037035,0.0,0.0,0.8888888888888888,"Mercer County, New Jersey",383732,92697,0.11223985158186085,0.19707504195636538,0.12186109055278163,0.19207936789217475,0.2458825430248194,0.041368981504704444,7.036160653789624,2.486136157526607,0.44511573457397163,-0.08515258361301527,0.7630102855910329,0.06761265880268673,0.29764652383866896,High DCI
34023,6,10.666666666666666,20,0.16666666666666666,253974.0,"Middlesex County, NJ",0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,"Middlesex County, New Jersey",860147,105206,0.08354632089485974,0.1023034434811724,0.2496096597442065,0.22260032296805082,0.3410486812137925,0.03671924415581835,0.6975551853345998,0.29526813440028277,1.3059493553957402,0.19017341689530526,-0.3494606259913781,-0.07624167226308241,0.26760511850914626,Mid DCI
34025,3,7.0,11,0.0,117812.0,"Monmouth County, NJ",0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,"Monmouth County, New Jersey",643064,118527,0.06376274823020874,0.06590945846758643,0.05411592003284277,0.11261554059938046,0.13236474130102135,0.012619046659438894,0.46651655200726516,0.18320416008359977,-0.5817194627477947,-0.8019865653550161,-0.7766693080817024,-0.8218575058596052,-0.7455582105110297,Low DCI
34027,1,15.0,15,0.0,121367.0,"Morris County, NJ",0.0,1.0,0.0,0.0,0.0,"Morris County, New Jersey",508816,130808,0.04950840944253132,0.033827552592685765,0.1074337284991038,0.14115908304770292,0.19339604100499985,0.023590901179808763,0.19653470016666144,0.23852826955127196,-0.029655506939173952,-0.5444985751168693,-1.153260899319809,-0.48240848451717233,-0.5524558664732562,Mid DCI
34029,3,12.0,20,0.3333333333333333,218524.0,"Ocean County, NJ",0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,"Ocean County, New Jersey",638691,82379,0.10487046697730956,0.03101656356516688,0.018719537303641353,0.09705945441535892,0.07766196799391255,0.005758646321398445,0.4697107051766817,0.3421435404600973,-1.0765381798995135,-0.9423162169652534,-1.1862575309711223,-1.0341056883743893,-1.0598044040525698,Low DCI
34031,5,5.2,26,0.2,196445.0,"Passaic County, NJ",0.0,0.2,0.0,0.8,0.0,"Passaic County, New Jersey",519986,84465,0.13462806788868378,0.10737019842841923,0.05455723807948676,0.4317327774209306,0.32464143265395606,0.11020320638342296,0.961564349809418,0.37778901739662224,1.1575361545002636,2.0767330647783795,-0.28998481693447176,2.1972171141448693,1.2853753791222602,High DCI
34033,6,0.0,0,0.0,0.0,"Salem County, NJ",0.0,0.0,0.0,0.0,1.0,"Salem County, New Jersey",64840,73378,0.13032996123664556,0.14639111659469464,0.008991363355953115,0.10330043183220235,0.03266502159161012,0.015074361461364372,9.253547193090686,0.0,-1.4835619914626192,-0.8860170825780597,0.1680599675964317,-0.7458945767983568,-0.736853420810651,Low DCI
34035,1,16.0,16,0.0,49651.0,"Somerset County, NJ",0.0,1.0,0.0,0.0,0.0,"Somerset County, New Jersey",344978,131948,0.052920620531340924,0.09594814741809622,0.1905338891175669,0.1550127834238705,0.26851277472766377,0.025931674584136838,0.28987355715436924,0.1439251198627159,0.6498194733987162,-0.41952594869255166,-0.42406190019608725,-0.4099892558618534,-0.15093940783794405,Mid DCI
34039,7,1.7142857142857142,12,0.0,171898.0,"Union County, NJ",0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,"Union County, New Jersey",572079,95000,0.08861916387209,0.20663055277330578,0.0563506089193975,0.33078648228653734,0.3160682353311343,0.09406188123762475,1.2236072290715094,0.3004794792327633,1.0799865487910423,1.1661082289437736,0.8751770950591649,1.6978341690156904,1.2047765104524177,High DCI
34041,1,21.0,21,1.0,103314.0,"Warren County, NJ",0.0,0.0,1.0,0.0,0.0,"Warren County, New Jersey",109739,92620,0.0774438802408502,0.05158603595804591,0.028239732456100383,0.10957818095663346,0.09852468128924083,0.013612801442416047,0.9112530640884279,0.9414519906323185,-0.8878226833168767,-0.8293862348759709,-0.944803972396133,-0.7911125586029962,-0.8632813622979942,Low DCI
